index;lat;lon;grad;dist;label
0;46.793704;9.268553;-7.971493400164438;56.45115380647712;
0;46.793576;9.267811;-0.7076404887352878;84.78881713966894;
0;46.793143;9.267217;0.960515514110434;83.28860786189125;
0;46.792944;9.268429;6.457719679893652;65.03843784171659;
0;46.792914;9.26921;6.602968403056848;54.52093331740616;
0;46.792828;9.269757;-12.280553211855871;53.74350720314669;
0;46.792851;9.270744;-10.814709053150818;158.1179846444229;
0;46.792854;9.272639;-11.007770290983757;138.9927260067543;
0;46.792264;9.274018;-8.441425685591788;50.93926263355479;
0;46.791655;9.27386;-0.11735418314022758;85.21213076872755;
0;46.791281;9.274154;-0.8411535052361111;451.76058547522916;
0;46.793967;9.278855;-1.6076019665118086;217.71558339122566;
0;46.795509;9.280118;-7.553899471142519;56.92424179626505;
0;46.795868;9.280529;0.21968936849601295;91.03763253053148;
0;46.796266;9.281633;-0.9339839705120417;74.94775307720556;
0;46.796538;9.282456;0.28717312019937996;104.46660181554216;
0;46.79638;9.283747;-4.066918970266832;59.01273218242932;
0;46.796148;9.28457;2.9197944393817163;61.648175492149676;
0;46.795772;9.285393;2.2951563971189373;56.64102026475484;
0;46.795495;9.286067;1.5934448382518014;131.7899402343901;
0;46.795262;9.287405;1.8954100066351052;73.86264687318908;
0;46.795257;9.288135;1.3898719772264276;57.55925819847107;Au
0;46.794938;9.288287;11.549930973510385;63.203840929807484;
0;46.794436;9.288439;16.219533380223073;51.172865491435005;
0;46.794356;9.288991;3.7697250273251965;50.40155412470813;
0;46.794523;9.289785;3.7052416272261564;75.56862093488417;
0;46.794497;9.290604;-0.9260084470973999;313.1720892061094;
0;46.793681;9.294581;-6.300471434640542;57.13858141165292;
0;46.793625;9.295232;8.185797233882232;53.751636820268686;
0;46.793423;9.295637;12.201590142196386;64.74565944220376;
0;46.792979;9.296335;12.519229139898991;95.0537758117589;
0;46.792239;9.296965;11.138800747715369;50.27471203440473;
0;46.791913;9.297369;11.953746648928545;82.81922221337481;
0;46.791798;9.298306;7.6987061707537565;76.63625379564837;
0;46.791884;9.29922;7.66408318666868;56.10586283144221;
0;46.792023;9.299849;7.001038352051295;55.706022505322835;
0;46.792261;9.30054;9.333976198152156;52.49638413444882;
0;46.792608;9.301048;-0.9958294086047071;70.29316406519138;
0;46.793142;9.301358;-9.967054125161866;68.22477248150426;
0;46.793732;9.301781;-9.13744822463659;50.34228251600143;
0;46.794118;9.302074;-8.92603903631461;70.58001846473235;
0;46.794738;9.302575;-6.468929050512402;52.5589316786627;
0;46.795071;9.302801;-9.972093045838704;56.15671629073768;
0;46.795254;9.302234;-10.2580526095305;54.59125833296275;
0;46.795645;9.302459;-11.466733064530494;53.19736637864844;
0;46.795876;9.302549;-8.701133485370036;51.71739989469461;
0;46.796251;9.302296;-16.896017394562822;53.26699061576619;
0;46.796483;9.30216;-21.906286810839145;52.03985549189201;
0;46.796725;9.302126;-15.740890804757065;59.08178968619359;
0;46.797231;9.302416;-8.874421188251636;51.83436646087648;
0;46.797607;9.302221;-8.7966592114975;50.01898896173043;
0;46.798135;9.302157;-3.3493298232923254;62.699110293526246;
0;46.798686;9.302097;-3.2433295937706115;58.58177360849368;
0;46.799158;9.301927;0;105.66345427547094;
0;46.800074;9.301661;5.894278870127387;52.59337178142414;
0;46.800526;9.301476;14.440486213673342;56.0922941246281;
0;46.800966;9.301277;-5.57829470974154;53.779876397728;
0;46.801442;9.301044;-5.56186431045378;61.13058158591957;
0;46.801925;9.301015;-4.064937397070829;54.12137470026573;
0;46.80242;9.301013;0.5525695483933925;54.291808311227214;
0;46.80287;9.301039;2.8566960526969885;66.51040100000137;
0;46.803435;9.301161;6.589166093563967;56.152780905220425;
0;46.803906;9.301279;-14.268696841165893;55.36595309256336;
0;46.804375;9.301668;-0.5346468472339903;112.22361136218024;
0;46.804978;9.302795;-0.3398960335208181;58.841522193813944;
0;46.805337;9.303236;6.660135335675882;58.55736863347556;
0;46.805502;9.304035;4.275350504412527;53.796758830092585;
0;46.805688;9.304557;2.252143250175379;62.16300849828076;
0;46.805815;9.305422;-8.783713505834038;56.92353236110284;
0;46.805986;9.306231;-16.152567989456653;58.19508084495101;
0;46.806273;9.306701;-7.20495935339083;55.51731527975244;
0;46.806622;9.30732;0;59.72486743585068;
0;46.807032;9.307962;-1.6879727486417035;118.48532516946034;
0;46.807304;9.309287;-0.11994264891261508;83.37317952088779;
0;46.807199;9.310131;-0.6414726350048391;140.302165811514;
0;46.807605;9.311608;-8.356964706957546;50.25748160098556;
0;46.807997;9.311393;-1.6065975489626498;105.81368066306277;
0;46.807835;9.312748;-0.10838010004286054;184.53572189078295;
0;46.806753;9.314356;-0.27808157032171826;503.44940097263134;
0;46.805967;9.320336;0.41008404457331543;73.15573574975315;
0;46.806107;9.321185;33.640411983599115;51.72350448170255;
0;46.80615;9.321539;29.122212299331267;55.971022504956636;
0;46.805945;9.32174;-5.353626292646661;63.50835516236839;
0;46.806286;9.321825;-29.091986035762464;59.810285824454695;
0;46.806853;9.321883;-18.521358738680775;53.451801996170616;
0;46.806455;9.322246;-15.331987843178405;54.78741625625116;
0;46.806148;9.322693;0;58.2168217702947;
0;46.80585;9.323178;0.13454796476013922;74.32293768121599;
0;46.805557;9.323984;-0.1570740779053198;127.32845716312295;
0;46.805303;9.325345;19.53658724970753;56.816473922108344;
0;46.805319;9.325757;13.78091766137905;56.600004380401515;
0;46.805479;9.326067;9.372571736539188;64.01658124001187;
0;46.805909;9.325638;29.693415924149818;52.53689922321246;
0;46.80617;9.326169;19.468306286677713;54.447468844547984;
0;46.806443;9.325646;26.90230526239306;52.41186531219137;
0;46.806838;9.325337;18.69371568854343;59.37824338904829;
0;46.807265;9.325326;34.245471753699874;54.02174083936006;
0;46.807552;9.325965;28.17796127929968;55.36241548979706;
0;46.807747;9.325948;31.53054875093644;50.11013327045475;
0;46.807966;9.326569;32.80771234439714;68.2766288757266;
0;46.808238;9.327278;36.65718048728901;51.28599567694255;
0;46.808454;9.32781;16.71744135141349;56.22870032802712;
0;46.808848;9.32802;8.027841932850153;53.56358578018626;
0;46.809375;9.327923;8.760657609291613;52.5074738124822;
0;46.809779;9.328199;9.02665490507084;68.68546615775813;
0;46.810301;9.328485;10.234011747148308;52.765231596540616;
0;46.810678;9.328771;11.98509775766029;56.73712586660986;
0;46.81118;9.328395;11.22559953881716;118.47919528939019;
0;46.812255;9.328863;9.02966714170116;110.74605345990676;
0;46.813144;9.328972;10.242851989411013;75.17437533960401;
0;46.813757;9.329509;8.407900568912629;59.46787737341947;
0;46.814181;9.329424;5.960240896252081;52.01132058184703;
0;46.814522;9.329799;-3.3700681355779825;59.345981135689726;
0;46.814857;9.330399;-7.929620627614797;73.14347397404526;
0;46.815559;9.330748;1.7415773018686131;74.64497835411203;
0;46.816015;9.331256;-7.810223558444114;55.056042478463496;
0;46.816417;9.331425;-14.716190481116584;57.07998962624697;
0;46.816894;9.331801;-13.043518336217053;59.79981626845438;
0;46.817374;9.332146;-14.218176118354942;50.63940648973403;
0;46.817813;9.332387;-10.042553838079513;51.77965768311333;
0;46.818317;9.332565;-2.4042542110746976;99.82305485604957;
0;46.819103;9.332808;-11.609361368454284;55.989298581593175;
0;46.819588;9.332802;-17.678873283109457;54.302103116333456;
0;46.820101;9.332905;-8.549947707247009;51.46230305327481;
0;46.820557;9.33303;-21.86417388925787;56.71378238577017;
0;46.821088;9.333226;-17.655242489769236;52.67557217290596;
0;46.821423;9.333512;-5.287469371109233;56.73791731810343;
0;46.821759;9.334016;18.86852363778258;54.58826666955065;
0;46.821873;9.334499;15.425851444033867;50.564469833636394;
0;46.821469;9.334828;15.777133259482678;55.7769263608825;
0;46.821192;9.335456;17.410203370179904;60.30946208235764;
0;46.821176;9.336138;10.150879991013763;50.24194951092795;
0;46.820688;9.336101;10.860413740489232;61.69194065803822;
0;46.820171;9.335731;14.478350190712014;55.25491436953962;
0;46.81979;9.335606;10.267334197588093;143.14874452467484;
0;46.818476;9.33847;0.5876807176424709;289.6879119719124;
0;46.818354;9.340481;5.8899350848285685;52.63215901963122;
0;46.818574;9.341135;0.18638590176483422;107.3042532220461;
0;46.818878;9.34236;-4.792494786401282;60.51128126896947;
0;46.819341;9.343034;-1.0850848547408718;73.72695292028584;
0;46.819551;9.343782;-0.7472436721990499;53.53006186361381;
0;46.819618;9.344551;-4.6349499308669;53.93801523833099;
0;46.81975;9.3451;-0.9185190821240496;185.0805315953512;
